AttentionScore , AttentionLevel 
AttentionScore , AttentionLevel 
AttentionScore , AttentionLevel 
AttentionScore , AttentionLevel 
AttentionScore , AttentionLevel 
AttentionScore , AttentionLevel 
AttentionScore , AttentionLevel 
49,  3
AttentionScore , AttentionLevel 
20,  3
AttentionScore , AttentionLevel 
AttentionScore , AttentionLevel 
AttentionScore , AttentionLevel 
AttentionScore , AttentionLevel 
AttentionScore , AttentionLevel 
AttentionScore , AttentionLevel 
AttentionScore , AttentionLevel 
AttentionScore , AttentionLevel 
59,  3
AttentionScore , AttentionLevel 
43,  3
AttentionScore , AttentionLevel 
89,  3
